round,xA,xB,xC,xD
1,458.872562,492.640002,718.002810,465.852260
2,367.667297,386.866775,370.158976,392.960926
3,459.136893,347.797207,449.230309,372.331383
4,833.997397,454.778089,515.704465,451.724133
5,553.728271,442.434461,410.445495,568.849738
6,466.542838,372.351063,435.310000,504.247732
7,638.151680,452.520531,510.093449,407.116937
8,451.437591,429.629262,374.408951,385.885199
9,566.609833,398.130855,625.505430,385.023705
10,624.928289,486.218690,488.387633,528.076731
