round,xA,xB
1,560.154976,544.396936
2,609.262492,543.159412
3,678.329639,665.711176
4,583.164644,601.189595
5,707.921598,707.187221
6,682.421346,725.077375
7,683.923034,768.426671
8,696.281142,729.200562
9,667.049034,647.143127
10,498.699590,614.293033
