round,xA,xB,xC,xD
1,230.038630,342.609833,607.805507,941.890124
2,366.496600,419.848911,634.729869,1135.178042
3,238.449931,352.765049,552.048664,1062.629781
4,252.177675,337.936368,480.646959,857.422104
5,257.912310,358.095005,546.652954,1027.580068
6,278.621461,351.198153,561.921044,955.767304
7,376.414184,389.325968,631.626184,955.442376
8,166.571392,352.538178,551.343293,998.231747
9,233.414988,409.506965,657.628818,1085.805745
10,386.064466,457.735842,652.086958,1233.180553
