round,xA,xB
1,878.439906,1615.999159
2,1260.346461,1929.805162
3,854.981855,1528.199767
4,873.181813,1560.059297
5,921.903669,1580.107796
6,869.869442,1511.771839
7,1078.041463,1803.264789
8,791.347816,1487.922156
9,846.082924,1526.593076
10,771.711737,1522.317708
