round,xA,xB
1,1044.099863,1007.160238
2,1065.724304,1081.120878
3,1014.902200,1118.656398
4,1084.915399,1046.049642
5,985.327188,1035.828453
6,1046.918289,1086.625998
7,1102.021146,1070.315513
8,1030.376900,1112.853323
9,985.502698,1000.920149
10,1089.161117,1094.093623
