round,xA,xB
1,749.164273,1237.235352
2,544.510953,911.825001
3,669.158744,1158.224739
4,597.330198,937.355289
5,521.372877,972.355627
6,602.223522,1147.060175
7,616.023732,1118.358692
8,690.247502,1106.019380
9,534.905696,903.037752
10,653.877335,994.718396
