round,xA,xB
1,333.578240,1176.071133
2,305.566671,1128.172984
3,414.163797,1247.800598
4,358.590912,1188.637376
5,264.336750,1169.632722
6,318.372195,1127.833208
7,329.856266,1127.506559
8,339.571440,1127.614291
9,372.201678,1146.715711
10,379.876347,1275.339279
