[E4] warmup_done iters=12198 seconds=3.461
[E4] progress elapsed_sec=1.0 iters=4525 iter_per_sec=4521.227
[E4] progress elapsed_sec=7.5 iters=4526 iter_per_sec=607.298
[E4] progress elapsed_sec=8.5 iters=9076 iter_per_sec=1073.666
[E4] progress elapsed_sec=9.5 iters=9077 iter_per_sec=955.748
[E4] progress elapsed_sec=10.5 iters=14182 iter_per_sec=1351.015
[E4] progress elapsed_sec=11.5 iters=18883 iter_per_sec=1641.850
[E4] progress elapsed_sec=18.5 iters=18884 iter_per_sec=1018.988
[E4] progress elapsed_sec=19.5 iters=23128 iter_per_sec=1183.928
[E4] progress elapsed_sec=20.5 iters=27485 iter_per_sec=1338.447
[E4] progress elapsed_sec=21.6 iters=27486 iter_per_sec=1273.525
[E4] progress elapsed_sec=22.6 iters=32392 iter_per_sec=1434.093
[E4] progress elapsed_sec=23.6 iters=36916 iter_per_sec=1564.961
[E4] progress elapsed_sec=30.6 iters=36917 iter_per_sec=1205.835
[E4] progress elapsed_sec=31.6 iters=41786 iter_per_sec=1321.527
[E4] progress elapsed_sec=32.6 iters=46303 iter_per_sec=1419.436
[E4] progress elapsed_sec=33.7 iters=46304 iter_per_sec=1375.159
[E4] progress elapsed_sec=34.7 iters=51169 iter_per_sec=1475.747
[E4] progress elapsed_sec=35.7 iters=55538 iter_per_sec=1556.852
[E4] progress elapsed_sec=42.7 iters=55539 iter_per_sec=1300.775
[E4] progress elapsed_sec=43.7 iters=60490 iter_per_sec=1384.251
[E4] progress elapsed_sec=45.8 iters=63143 iter_per_sec=1379.789
[E4] progress elapsed_sec=46.8 iters=68080 iter_per_sec=1455.746
[E4] progress elapsed_sec=47.8 iters=72613 iter_per_sec=1520.152
[E4] progress elapsed_sec=53.6 iters=72614 iter_per_sec=1354.601
[E4] progress elapsed_sec=54.6 iters=77555 iter_per_sec=1420.279
[E4] progress elapsed_sec=55.6 iters=82083 iter_per_sec=1476.074
[E4] progress elapsed_sec=57.8 iters=82084 iter_per_sec=1418.922
[E4] progress elapsed_sec=58.9 iters=87013 iter_per_sec=1478.484
[E4] progress elapsed_sec=59.9 iters=91542 iter_per_sec=1529.366
[E4] progress elapsed_sec=65.7 iters=91543 iter_per_sec=1393.663
[E4] result seconds=65.686 iters=91543 iter_per_sec=1393.650840
