[E4] warmup_done iters=13791 seconds=3.083
[E4] progress elapsed_sec=1.0 iters=4525 iter_per_sec=4523.652
[E4] progress elapsed_sec=7.3 iters=4526 iter_per_sec=620.164
[E4] progress elapsed_sec=8.3 iters=9491 iter_per_sec=1143.290
[E4] progress elapsed_sec=9.3 iters=14019 iter_per_sec=1506.614
[E4] progress elapsed_sec=10.3 iters=18477 iter_per_sec=1792.113
[E4] progress elapsed_sec=11.3 iters=22537 iter_per_sec=1991.445
[E4] progress elapsed_sec=12.3 iters=25854 iter_per_sec=2099.026
[E4] progress elapsed_sec=13.3 iters=30000 iter_per_sec=2252.557
[E4] progress elapsed_sec=20.4 iters=30001 iter_per_sec=1471.208
[E4] progress elapsed_sec=21.4 iters=35043 iter_per_sec=1637.970
[E4] progress elapsed_sec=22.4 iters=39558 iter_per_sec=1766.411
[E4] progress elapsed_sec=23.4 iters=44008 iter_per_sec=1880.757
[E4] progress elapsed_sec=24.4 iters=48174 iter_per_sec=1974.149
[E4] progress elapsed_sec=25.4 iters=52373 iter_per_sec=2061.510
[E4] progress elapsed_sec=26.4 iters=56611 iter_per_sec=2143.869
[E4] progress elapsed_sec=33.5 iters=56612 iter_per_sec=1690.517
[E4] progress elapsed_sec=34.5 iters=61714 iter_per_sec=1789.434
[E4] progress elapsed_sec=35.5 iters=66427 iter_per_sec=1871.802
[E4] progress elapsed_sec=36.5 iters=70819 iter_per_sec=1940.801
[E4] progress elapsed_sec=37.5 iters=74863 iter_per_sec=1996.796
[E4] progress elapsed_sec=38.5 iters=77950 iter_per_sec=2025.119
[E4] progress elapsed_sec=39.5 iters=81708 iter_per_sec=2068.998
[E4] progress elapsed_sec=46.6 iters=81709 iter_per_sec=1754.482
[E4] progress elapsed_sec=47.6 iters=86774 iter_per_sec=1824.028
[E4] progress elapsed_sec=48.6 iters=91277 iter_per_sec=1879.077
[E4] progress elapsed_sec=49.6 iters=95655 iter_per_sec=1929.468
[E4] progress elapsed_sec=50.6 iters=99823 iter_per_sec=1973.636
[E4] progress elapsed_sec=57.0 iters=99824 iter_per_sec=1752.603
[E4] progress elapsed_sec=58.0 iters=104751 iter_per_sec=1807.346
[E4] progress elapsed_sec=59.0 iters=109268 iter_per_sec=1853.276
[E4] progress elapsed_sec=60.0 iters=113712 iter_per_sec=1896.464
[E4] result seconds=60.040 iters=113712 iter_per_sec=1893.936534
