[E4] warmup_done iters=13790 seconds=3.092
[E4] progress elapsed_sec=1.0 iters=4529 iter_per_sec=4520.259
[E4] progress elapsed_sec=8.6 iters=4530 iter_per_sec=527.782
[E4] progress elapsed_sec=9.6 iters=9658 iter_per_sec=1007.398
[E4] progress elapsed_sec=10.6 iters=14338 iter_per_sec=1354.289
[E4] progress elapsed_sec=11.6 iters=18744 iter_per_sec=1617.601
[E4] progress elapsed_sec=19.7 iters=18745 iter_per_sec=953.076
[E4] progress elapsed_sec=20.7 iters=23873 iter_per_sec=1155.048
[E4] progress elapsed_sec=21.7 iters=28533 iter_per_sec=1316.657
[E4] progress elapsed_sec=22.7 iters=32943 iter_per_sec=1453.093
[E4] progress elapsed_sec=23.7 iters=36852 iter_per_sec=1556.576
[E4] progress elapsed_sec=31.7 iters=36853 iter_per_sec=1160.748
[E4] progress elapsed_sec=32.8 iters=41522 iter_per_sec=1267.733
[E4] progress elapsed_sec=33.8 iters=45853 iter_per_sec=1358.282
[E4] progress elapsed_sec=34.8 iters=50200 iter_per_sec=1444.168
[E4] progress elapsed_sec=35.8 iters=54412 iter_per_sec=1521.435
[E4] progress elapsed_sec=43.4 iters=54413 iter_per_sec=1253.183
[E4] progress elapsed_sec=44.4 iters=59496 iter_per_sec=1339.381
[E4] progress elapsed_sec=45.4 iters=63951 iter_per_sec=1407.975
[E4] progress elapsed_sec=46.4 iters=68225 iter_per_sec=1469.610
[E4] progress elapsed_sec=54.5 iters=68226 iter_per_sec=1251.927
[E4] progress elapsed_sec=55.5 iters=73276 iter_per_sec=1320.349
[E4] progress elapsed_sec=56.5 iters=77769 iter_per_sec=1376.504
[E4] progress elapsed_sec=57.5 iters=82192 iter_per_sec=1429.367
[E4] progress elapsed_sec=58.5 iters=86416 iter_per_sec=1477.087
[E4] progress elapsed_sec=66.6 iters=86417 iter_per_sec=1298.052
[E4] result seconds=66.575 iters=86417 iter_per_sec=1298.041761
