[E4] warmup_done iters=13774 seconds=3.085
[E4] progress elapsed_sec=1.0 iters=4570 iter_per_sec=4548.324
[E4] progress elapsed_sec=8.6 iters=4571 iter_per_sec=531.203
[E4] progress elapsed_sec=9.6 iters=9695 iter_per_sec=1008.990
[E4] progress elapsed_sec=10.6 iters=14385 iter_per_sec=1355.965
[E4] progress elapsed_sec=11.6 iters=18796 iter_per_sec=1618.721
[E4] progress elapsed_sec=19.7 iters=18797 iter_per_sec=954.720
[E4] progress elapsed_sec=20.7 iters=23927 iter_per_sec=1156.236
[E4] progress elapsed_sec=21.7 iters=28655 iter_per_sec=1320.565
[E4] progress elapsed_sec=22.7 iters=33045 iter_per_sec=1455.659
[E4] progress elapsed_sec=23.7 iters=36953 iter_per_sec=1559.096
[E4] progress elapsed_sec=31.8 iters=36954 iter_per_sec=1162.693
[E4] progress elapsed_sec=32.8 iters=41896 iter_per_sec=1277.772
[E4] progress elapsed_sec=33.8 iters=46421 iter_per_sec=1373.824
[E4] progress elapsed_sec=34.8 iters=50906 iter_per_sec=1463.058
[E4] progress elapsed_sec=35.8 iters=55067 iter_per_sec=1538.393
[E4] progress elapsed_sec=43.9 iters=55068 iter_per_sec=1255.349
[E4] progress elapsed_sec=44.9 iters=60191 iter_per_sec=1341.361
[E4] progress elapsed_sec=45.9 iters=64693 iter_per_sec=1410.211
[E4] progress elapsed_sec=46.9 iters=67810 iter_per_sec=1446.459
[E4] progress elapsed_sec=47.9 iters=72006 iter_per_sec=1503.693
[E4] progress elapsed_sec=54.8 iters=72007 iter_per_sec=1314.283
[E4] progress elapsed_sec=55.8 iters=77101 iter_per_sec=1381.915
[E4] progress elapsed_sec=56.8 iters=81656 iter_per_sec=1437.708
[E4] progress elapsed_sec=58.0 iters=81657 iter_per_sec=1408.654
[E4] progress elapsed_sec=59.0 iters=86510 iter_per_sec=1467.004
[E4] progress elapsed_sec=60.0 iters=90875 iter_per_sec=1515.260
[E4] result seconds=60.057 iters=90875 iter_per_sec=1513.147583
