[E4] warmup_done iters=13791 seconds=3.082
[E4] progress elapsed_sec=1.0 iters=4554 iter_per_sec=4550.040
[E4] progress elapsed_sec=8.6 iters=4555 iter_per_sec=530.034
[E4] progress elapsed_sec=9.6 iters=9685 iter_per_sec=1009.084
[E4] progress elapsed_sec=10.6 iters=14357 iter_per_sec=1354.711
[E4] progress elapsed_sec=11.6 iters=18745 iter_per_sec=1615.790
[E4] progress elapsed_sec=12.6 iters=22640 iter_per_sec=1796.444
[E4] progress elapsed_sec=20.3 iters=22641 iter_per_sec=1116.424
[E4] progress elapsed_sec=21.3 iters=27218 iter_per_sec=1279.017
[E4] progress elapsed_sec=22.3 iters=31587 iter_per_sec=1417.349
[E4] progress elapsed_sec=23.3 iters=35960 iter_per_sec=1543.957
[E4] progress elapsed_sec=31.4 iters=35961 iter_per_sec=1146.733
[E4] progress elapsed_sec=32.4 iters=40824 iter_per_sec=1261.558
[E4] progress elapsed_sec=33.4 iters=45358 iter_per_sec=1359.462
[E4] progress elapsed_sec=34.4 iters=49688 iter_per_sec=1445.903
[E4] progress elapsed_sec=35.4 iters=53884 iter_per_sec=1523.396
[E4] progress elapsed_sec=43.4 iters=53885 iter_per_sec=1240.337
[E4] progress elapsed_sec=44.4 iters=59025 iter_per_sec=1328.066
[E4] progress elapsed_sec=45.4 iters=63548 iter_per_sec=1398.324
[E4] progress elapsed_sec=46.4 iters=67919 iter_per_sec=1462.298
[E4] progress elapsed_sec=47.5 iters=71815 iter_per_sec=1513.382
[E4] progress elapsed_sec=55.5 iters=71816 iter_per_sec=1293.470
[E4] progress elapsed_sec=56.5 iters=77050 iter_per_sec=1363.186
[E4] progress elapsed_sec=57.5 iters=81449 iter_per_sec=1415.853
[E4] progress elapsed_sec=58.5 iters=85762 iter_per_sec=1465.263
[E4] progress elapsed_sec=59.5 iters=89580 iter_per_sec=1504.595
[E4] progress elapsed_sec=67.6 iters=89581 iter_per_sec=1325.058
[E4] result seconds=67.606 iters=89581 iter_per_sec=1325.047045
