[E4] warmup_done iters=3976 seconds=3.081
[E4] progress elapsed_sec=1.0 iters=4497 iter_per_sec=4491.554
[E4] progress elapsed_sec=2.0 iters=8827 iter_per_sec=4405.055
[E4] progress elapsed_sec=3.0 iters=13154 iter_per_sec=4375.946
[E4] progress elapsed_sec=4.0 iters=17231 iter_per_sec=4295.493
[E4] progress elapsed_sec=12.1 iters=17232 iter_per_sec=1426.128
[E4] progress elapsed_sec=13.1 iters=22174 iter_per_sec=1694.846
[E4] progress elapsed_sec=14.1 iters=26654 iter_per_sec=1892.610
[E4] progress elapsed_sec=15.1 iters=31027 iter_per_sec=2056.450
[E4] progress elapsed_sec=16.1 iters=35014 iter_per_sec=2175.573
[E4] progress elapsed_sec=23.8 iters=35015 iter_per_sec=1473.885
[E4] progress elapsed_sec=24.8 iters=39938 iter_per_sec=1612.837
[E4] progress elapsed_sec=25.8 iters=44452 iter_per_sec=1725.448
[E4] progress elapsed_sec=26.8 iters=48906 iter_per_sec=1827.202
[E4] progress elapsed_sec=34.5 iters=48907 iter_per_sec=1419.038
[E4] progress elapsed_sec=35.5 iters=53564 iter_per_sec=1510.188
[E4] progress elapsed_sec=36.5 iters=57570 iter_per_sec=1578.541
[E4] progress elapsed_sec=37.5 iters=61294 iter_per_sec=1635.715
[E4] progress elapsed_sec=38.5 iters=65632 iter_per_sec=1705.916
[E4] progress elapsed_sec=39.5 iters=69973 iter_per_sec=1772.642
[E4] progress elapsed_sec=46.6 iters=69974 iter_per_sec=1502.619
[E4] progress elapsed_sec=47.6 iters=74713 iter_per_sec=1570.655
[E4] progress elapsed_sec=48.6 iters=78713 iter_per_sec=1620.476
[E4] progress elapsed_sec=49.6 iters=82048 iter_per_sec=1654.925
[E4] progress elapsed_sec=50.6 iters=86243 iter_per_sec=1704.970
[E4] progress elapsed_sec=58.6 iters=86244 iter_per_sec=1470.873
[E4] progress elapsed_sec=59.6 iters=90991 iter_per_sec=1525.749
[E4] result seconds=60.083 iters=92512 iter_per_sec=1539.740756
