[E4] warmup_done iters=10018 seconds=3.077
[E4] progress elapsed_sec=1.0 iters=2657 iter_per_sec=2547.924
[E4] progress elapsed_sec=2.0 iters=5750 iter_per_sec=2809.183
[E4] progress elapsed_sec=3.0 iters=7454 iter_per_sec=2443.969
[E4] progress elapsed_sec=4.0 iters=11497 iter_per_sec=2838.768
[E4] progress elapsed_sec=9.1 iters=15295 iter_per_sec=1673.364
[E4] progress elapsed_sec=10.1 iters=19585 iter_per_sec=1931.226
[E4] progress elapsed_sec=11.1 iters=24191 iter_per_sec=2170.791
[E4] progress elapsed_sec=12.1 iters=28368 iter_per_sec=2334.892
[E4] progress elapsed_sec=14.1 iters=28369 iter_per_sec=2007.542
[E4] progress elapsed_sec=15.1 iters=32340 iter_per_sec=2136.690
[E4] progress elapsed_sec=16.1 iters=36687 iter_per_sec=2273.449
[E4] progress elapsed_sec=17.1 iters=41017 iter_per_sec=2392.742
[E4] progress elapsed_sec=22.2 iters=42368 iter_per_sec=1907.807
[E4] progress elapsed_sec=23.2 iters=47364 iter_per_sec=2040.873
[E4] progress elapsed_sec=24.2 iters=51872 iter_per_sec=2142.578
[E4] progress elapsed_sec=25.2 iters=56261 iter_per_sec=2231.583
[E4] progress elapsed_sec=26.2 iters=60176 iter_per_sec=2294.995
[E4] progress elapsed_sec=36.3 iters=60177 iter_per_sec=1657.246
[E4] progress elapsed_sec=37.3 iters=65206 iter_per_sec=1747.506
[E4] progress elapsed_sec=38.3 iters=69695 iter_per_sec=1819.059
[E4] progress elapsed_sec=39.3 iters=74082 iter_per_sec=1884.350
[E4] progress elapsed_sec=40.3 iters=78046 iter_per_sec=1935.756
[E4] progress elapsed_sec=50.4 iters=78059 iter_per_sec=1548.212
[E4] progress elapsed_sec=51.4 iters=83149 iter_per_sec=1616.936
[E4] progress elapsed_sec=52.4 iters=87861 iter_per_sec=1675.832
[E4] progress elapsed_sec=54.7 iters=89288 iter_per_sec=1633.258
[E4] progress elapsed_sec=55.7 iters=92316 iter_per_sec=1658.109
[E4] progress elapsed_sec=56.7 iters=96476 iter_per_sec=1702.081
[E4] progress elapsed_sec=57.7 iters=100806 iter_per_sec=1747.504
[E4] progress elapsed_sec=62.7 iters=100807 iter_per_sec=1608.533
[E4] result seconds=62.671 iters=100807 iter_per_sec=1608.519534
