round,xA,xB
1,565.886065,1713.208280
2,583.250548,1684.182858
3,869.950385,2009.615369
4,585.553882,1748.747580
5,681.381874,1886.266262
6,528.664448,1641.923478
7,606.567726,1763.365124
8,910.834068,2077.286281
9,556.786958,1696.604162
10,605.530674,1748.878189
