round,xA,xB
1,1348.329603,1309.419291
2,1042.090646,1029.979819
3,1011.227198,1020.114070
4,835.379080,766.964404
5,985.973622,971.960013
6,815.898655,771.912195
7,1087.884091,1028.905319
8,1022.448204,990.765739
9,770.955561,782.800156
10,875.622622,932.064820
